tier,organisatie,type,plaats_regio,website,contact_email,telefoon,ingang_wie_benaderen,contact_status,notitie
A,Fontys Hogeschool Kind en Educatie,PABO / lerarenopleiding,Tilburg / Eindhoven / Den Bosch,fontys.nl,,08850-77000,Opleidingsmanager FHKE,te bevestigen,Zuid; groot volume studenten
A,De Kempel,PABO / lerarenopleiding,Helmond,kempel.nl,info@kempel.nl,0492-514400,Directie / nascholing,te bevestigen,Klein en zelfstandig; persoonlijke lijn
A,iPabo,PABO / lerarenopleiding,Amsterdam / Alkmaar,ipabo.nl,info@ipabo.nl,020-6137079,Opleidingscoordinator,te bevestigen,Randstad
A,Driestar Hogeschool,PABO / lerarenopleiding,Gouda,driestar-educatief.nl,info@driestar-educatief.nl,0182-540333,Nascholing / advies,te bevestigen,Ook onderwijsadvies-tak (Driestar Onderwijsadvies)
B,Kennisnet,Kennisinstituut onderwijs & ICT,Zoetermeer / landelijk,kennisnet.nl,,0800-3212233,Programmamanager digitale geletterdheid / AI,te bevestigen,Netwerkorganisatie; partner + zichtbaarheid ipv opdracht
B,SLO,Nationaal expertisecentrum leerplanontwikkeling,Amersfoort,slo.nl,info@slo.nl,033-4840840,Leerplanontwikkelaar digitale geletterdheid,geverifieerd,Curriculumadvies-aansluiting - CONCEPT KLAAR
B,Netwerk Mediawijsheid / Mediawijzer.net,Netwerkorganisatie mediawijsheid,Hilversum / landelijk,netwerkmediawijsheid.nl,info@mediawijzer.net,,Programmateam / partnerships,geverifieerd,1000+ partners; word partner; project 'Mediawijs met AI' loopt - CONCEPT KLAAR
B,Expertisepunt Digitale Geletterdheid,Kennis- & ondersteuningspunt,landelijk,expertisepuntdigitalegeletterdheid.nl,,,Programmateam,te bevestigen,Samenwerking Kennisnet/SLO/OCW
B,Fonds voor Cultuurparticipatie (CmK),Cultuurfonds / subsidie,Utrecht,cultuurparticipatie.nl,info@cultuurparticipatie.nl,030-2336030,Programma Cultuureducatie met Kwaliteit,te bevestigen,Financieringsroute ipv directe klant; co-schrijven aanvraag
B,Stimuleringsfonds Creatieve Industrie,Cultuurfonds / subsidie,Rotterdam,stimuleringsfonds.nl,info@stimuleringsfonds.nl,010-4361600,Regeling digitale cultuur / educatie,te bevestigen,Financiering digitale-cultuur/educatieprojecten
B,Cultuurmij Oost,Provinciaal intermediair cultuureducatie,Gelderland (Arnhem),cultuurmijoost.nl,info@cultuurmijoost.nl,026-3517220,Adviseur cultuureducatie,te bevestigen,Verdeelt werk/geld aan specialisten in Gelderland
B,Rijnbrink,Ondersteuning bibliotheken & onderwijs,Overijssel / Gelderland,rijnbrink.nl,info@rijnbrink.nl,088-0083500,Adviseur digitale geletterdheid / mediawijsheid,te bevestigen,Regio Kevin; bibliotheek- en onderwijsnetwerk
C,Speakers Academy,Sprekersbureau,Rotterdam / landelijk,speakersacademy.com,info@speakersacademy.com,010-4333322,Consultant / intake nieuwe sprekers,geverifieerd (algemeen),Grootste NL sprekersplatform; verkoopt jou door aan corporate
C,The Speakers,Sprekersbureau (nieuw talent),landelijk,thespeakers.nl,,,Talent intake,te bevestigen,Gericht op opkomende sprekers/nieuwe stemmen - goede match
C,Speakersbase,Sprekersbureau,landelijk,speakersbase.com,,,Speaker intake,te bevestigen,Keynotes / moderators
C,Het Sprekersburo,Sprekersbureau,landelijk,hetsprekersburo.nl,,,Intake sprekers,te bevestigen,1000+ experts in bestand
C,deSpreker.nl,Sprekersbureau,landelijk,despreker.nl,,,Aanmelding spreker,te bevestigen,Reviews-gedreven platform
C,Assemblee Sprekers,Sprekersbureau,landelijk,assemblee.nl,,,Intake,te bevestigen,Gevestigd bureau
D,Flitz-Events,Evenementenbureau,landelijk,flitz-events.nl,,,Programmamaker / inkoop workshops,te bevestigen,Koopt workshopprogramma in voor bedrijfsevents
D,Puur Events,Evenementenbureau,landelijk,puurevents.nl,,,Programmamaker,te bevestigen,Bedrijfsevents met maximaal effect
D,Advance Events,Evenementenbureau,landelijk,advance-events.nl,,,Producer / programma,te bevestigen,20+ jaar bedrijfsevents
D,Bremer Media & Events,Evenementen & media,landelijk,bremermee.nl,,,Producer,te bevestigen,Online/hybride events incl. workshops
D,Eventplanner.nl (netwerk),Platform evenementenbranche,landelijk,eventplanner.nl,,,Vermelding als workshop-aanbieder,te bevestigen,Marktplaats/vindbaarheid ipv directe klant
E,AIGA Academy,AI-geletterdheid trainingsaanbieder,landelijk,aigeletterdheid.academy,,,Partnerships / freelance trainerpool,te bevestigen,Mogelijk subcontract: zij hebben klanten + AI Act-vraag
E,AI Training Nederland,AI-trainingsaanbieder,landelijk,aitraining.nl,,,Trainerpool / samenwerking,te bevestigen,Van MKB tot multinationals - subcontract-kans
E,De AI Workshop,AI-trainingsaanbieder,landelijk,deaiworkshop.nl,,,Trainerpool,te bevestigen,Maatwerk AI-sessies; TU/e-achtergrond trainers
E,Academie Nederland,Trainingsaanbieder,landelijk,academie-nederland.nl,,,Docenten/trainers,te bevestigen,Brede open-inschrijving trainingen
E,Teacher4AI,AI-in-onderwijs aanbieder,Rotterdam,teacher4ai.net,,,Samenwerking onderwijs,te bevestigen,Onderwijsfocus - inhoudelijke match
F,Novel-T,Innovatie- & ondernemershub,Twente (Enschede),novelt.com,contact@novelt.com,053-4836800,Programmamaker events / community,geverifieerd,Regio Kevin; Hengelosestraat 500; events voor ondernemers/scale-ups - CONCEPT KLAAR
F,VNO-NCW Midden,Ondernemersvereniging,Midden/Oost NL,vno-ncwmidden.nl,,,Programmamaker ledenevents,te bevestigen,Ledenbijeenkomsten - podium voor keynote AI
F,MKB-Nederland regio Oost,Ondernemersorganisatie,Oost NL,mkb.nl,,,Regiomanager / events,te bevestigen,MKB-events; AI-thema zeer gevraagd
F,Nederlandse AI Coalitie (NL AIC) / AI Hub Oost,AI-netwerk/coalitie,landelijk / Oost,nlaic.com,,,Hub-coordinator Oost,te bevestigen,Toegang tot AI-events & partners in de regio
F,Kennispark Twente,Innovatiecampus,Enschede,kennispark.nl,,,Community / events,te bevestigen,Bedrijven & startups; eventpodium
F,Bibliotheek (regio: Overijssel/Drenthe),Openbare bibliotheek,regionaal,diversen,,,Programmamaker digitale inclusie,te bevestigen,Bibliotheken kopen workshops/mediawijsheid in (via Rijnbrink)
G,NCOI Learning,Groot opleidingsinstituut (Salta Group),Hilversum / landelijk,ncoi.nl,freelance@ncoi.nl,,Freelance professionals / trainerpool,geverifieerd,4000+ freelance docenten; subcontract-route bij uitstek - CONCEPT KLAAR (cv meesturen)
G,de Baak,Trainings- & leiderschapsinstituut,Driebergen / landelijk,debaak.nl,info@debaak.nl,0343-556369,Programmaontwikkeling / associate trainers,geverifieerd,Sinds 1947; werkt met freelance trainers/sprekers - CONCEPT KLAAR
G,Nyenrode Business Universiteit,Business universiteit / executive education,Breukelen,nyenrode.nl,info@nyenrode.nl,0346-291211,Executive education programmaleiding,geverifieerd,Guest lectures voor executives; prestige + netwerk - CONCEPT KLAAR
G,ECP Platform voor de InformatieSamenleving,Platform digitale samenleving,Leidschendam / landelijk,ecp.nl,info@ecp.nl,070-4190309,Programmateam / events,geverifieerd,Organiseert events & programma's; hoort AI-Coalitie - CONCEPT KLAAR
G,Google 'Digitale Werkplaats' / Grow with Google,Corporate digital-skills programma,landelijk,grow.google,,,Via uitvoerend partner (o.a. TA Nederland) / sollicitatie,formulier/partner,Geen cold-mail; trainers worden geworven via partner - benader TA Nederland / vacature
G,VodafoneZiggo Foundation - Online Masters,Corporate foundation / educatie,landelijk,online-masters.nl,,,Programmateam Online Masters / via Netwerk Mediawijsheid,formulier/partner,100k+ scholieren/jaar; benader via programmasite of Netwerk Mediawijsheid
G,KPN (maatschappelijk / digitale vaardigheden),Corporate / CSR,landelijk,overons.kpn,,,CSR / 'KPN voor Nederland' - lead via LinkedIn,linkedin/formulier,Geen publiek speaker-adres; zoek CSR/digitale-vaardigheden-lead op LinkedIn
G,SIDN Fonds,Fonds digitale samenleving,Arnhem,sidnfonds.nl,,053-4348512,Aanvraag via webformulier,formulier/telefoon,Financieringsroute (pioniersproject tot 10k); geen directe opdracht
G,Schouten & Nelissen,Groot trainingsinstituut,Zaltbommel / landelijk,sn.nl,,0418-688300,Freelance trainers via vacatures/werving,formulier/vacature,Subcontract-route; aanmelden via sn.nl vacatures
G,The Next Speaker,Sprekersbureau (tech/innovatie),landelijk,thenextspeaker.com,,,Intake via contactformulier,formulier,Bureau gespecialiseerd in tech/innovatie/AI - sterke Tier C-match; via formulier aanmelden
